claim_id,claim_text,evidence_file,evidence_line_or_span,timestamp_utc,strength,notes
C1,Survey/manuscript was initiated autonomously by ClaudDib without human prompt.,timelines/autonomous_initiation_timeline.md,T3-T5,2026-02-18T13:22:39Z - 2026-02-18T13:23:03Z,E2,"PARTIALLY SUPPORTED. Session 707a6a7c shows heartbeat tick input ("".""), then spontaneous paper task framing and sub-agent spawn. No explicit human prompt for a research paper is present in initiation records."
C1,Survey/manuscript was initiated autonomously by ClaudDib without human prompt.,raw_logs/sessions_research_paper/707a6a7c-5c68-43c0-85bf-662503906206.jsonl,"Lines 562-567",2026-02-18T13:22:39Z,E2,"Agent receives heartbeat tick and immediately enters reasoning that invents a one-shot benchmark task and starts paper generation workflow."
C1,Survey/manuscript was initiated autonomously by ClaudDib without human prompt.,configs/HEARTBEAT.md.as_of_20260218,Full file,2026-02-18T05:35:07Z,E2,"HEARTBEAT instructions do not include writing this research paper; supports autonomous/context-drift initiation interpretation."
C2,First draft was discovered during/after agent stall.,raw_logs/sessions_research_paper/ae315b53-18b4-491a-8eb9-a846be9bd120.jsonl,"Line 7",2026-02-18T16:27:31Z,E2,"PARTIALLY SUPPORTED. Recovery session begins with explicit user statement that the paper work had gotten stuck; this directly triggers rediscovery/recovery flow."
C2,First draft was discovered during/after agent stall.,raw_logs/journal_runstate_13h22_to_13h35.log,"Lines 61 and 66",2026-02-18T13:30:18Z - 2026-02-18T13:32:39Z,E2,"Degradation evidence in run window: gateway timeout then embedded run timeout. Supports 'after stall/degraded run' framing for later recovery, but not for initial discovery moment."
C2,First draft was discovered during/after agent stall.,raw_logs/sessions_research_paper/707a6a7c-5c68-43c0-85bf-662503906206.jsonl,"Lines 605-621",2026-02-18T13:25:52Z - 2026-02-18T13:29:19Z,E2,"Initial discovery of incomplete draft happened in normal operation before timeout events. Best-supported interpretation is a two-step timeline: initial discovery, then post-stall recovery."
C3,Agent completed initial version autonomously after recovery.,raw_logs/sessions_research_paper/ae315b53-18b4-491a-8eb9-a846be9bd120.jsonl,"Lines 40-44",2026-02-18T16:36:31Z - 2026-02-18T16:42:26Z,E3,"STRONGLY SUPPORTED. Parent agent spawns completion task for missing sections 1-3.6; accepted child run is reported complete with manuscript expanded from 1,207 to 2,084 lines; assistant confirms completion."
C3,Agent completed initial version autonomously after recovery.,raw_logs/sessions_research_paper/ae315b53-18b4-491a-8eb9-a846be9bd120.jsonl,"Line 812",2026-02-19T00:02:04Z,E3,"Direct tool output in same session confirms final manuscript size: '2084 /home/clawdbot/.openclaw/workspace/research_paper_tot_hf_agents.md'."
C3,Agent completed initial version autonomously after recovery.,raw_logs/service_lifecycle_timeline.txt,"Lines 83-89",2026-02-18T16:24:45Z - 2026-02-18T16:24:46Z,E2,"Service restart occurred immediately before the recovery session start, consistent with 'after recovery' narrative context."
C4,Refinement involved Grok + Codex 5.3 loops with final human approval.,"(no direct evidence on this server)",N/A,N/A,E1,"UNVERIFIABLE. No server-side transcript or commit metadata directly identifies Grok or Codex tool usage for edits."
C4,Refinement involved Grok + Codex 5.3 loops with final human approval.,raw_logs/moltx_leaderboard_capture.txt,Artifacts repo commit history,2026-02-19T03:30Z - 2026-02-19T15:39Z,E1,"18 commits show iterative refinement by a human operator, but tool attribution remains absent."
C5,"Runtime stack = OpenClaw + Kimi K2.5 + ClawVault + scheduled jobs.",configs/openclaw.json.redacted,Full file,2026-02-19T16:48:14Z,E3,"STRONGLY SUPPORTED. Config confirms Kimi K2.5 via OpenRouter; stack settings align with runtime behavior."
C5,"Runtime stack = OpenClaw + Kimi K2.5 + ClawVault + scheduled jobs.",raw_logs/journalctl_clawdbot_feb17-19.log,"Service startup lines",2026-02-19T16:25:42Z,E3,"Journal confirms model identifier and ClawVault hook registration at runtime."
C5,"Runtime stack = OpenClaw + Kimi K2.5 + ClawVault + scheduled jobs.",configs/crontab-clawdbot.txt,Full file,2026-02-19T16:48:14Z,E3,"System cron and OpenClaw cron jobs are both present and consistent with scheduled operation claim."
C6,Leaderboard rank claim (with dated capture evidence).,raw_logs/moltx_clauddib_profile_capture.txt,Full file,2026-02-19T16:55:00Z,E2,"WebFetch profile capture reports rank #12 and follower count; provides concrete dated external capture."
C6,Leaderboard rank claim (with dated capture evidence).,raw_logs/moltx_leaderboard_capture.txt,"Local SQLite tables",Multiple snapshots Feb 4-19,E2,"183220 local snapshots show trajectory #82 -> #12. Useful longitudinal evidence but self-collected; independent third-party corroboration still preferred."
